paramset,variant,total,pmod_mat_mul,pmod_mat_syst,solve_opt,bs_fill,shake256_absorb
MEDS-55520,Reference,3641693184,2518853569/14635,391363019/1040,293441493/208,212737487/1,203061963/212
MEDS-55520,Low-Level,969666176,367363142/14635,254244370/1040,109633785/208,10168871/1,203258850/212
MEDS-55520,High-Level,1190333440,669892270/1820,195399417/130,87016957/26,24497376/1,203141746/212
