paramset,variant,total,pmod_mat_mul,pmod_mat_syst,solve_opt,bs_fill,shake256_absorb
MEDS-55520,Reference,3641693184,2518853569/14635,391363019/1040,293441493/208,212737487/1,203061963/212
MEDS-55520,Low-Level,1030449536,365990170/14635,285887003/1040,109479550/208,8904059/1,203344072/212
MEDS-55520,High-Level,1190333440,669892270/1820,195399417/130,87016957/26,24497376/1,203141746/212
